"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Chile",16,9,3,5,6,-1,3
"Korea Republic",16,10,5,6,3,3,1
"South Africa",16,10,5,4,3,1,2
"Iran",16,11,7,4,1,3,1
"New Zealand",16,11,4,3,2,1,2
"Jordan",16,12,4,2,1,1,1
"Senegal",16,12,4,2,2,0,2
"Belgium",16,12,4,4,5,-1,3
"Iran",17,1,7,8,5,3,1
"South Africa",17,1,4,7,5,2,2
"Ecuador",17,2,9,5,1,4,1
"Korea Republic",17,2,4,5,2,3,2
"Canada",17,3,5,3,1,2,1
"Morocco",17,3,5,3,2,1,2
"Uzbekistan",17,3,3,2,2,0,3
"Argentina",17,4,5,9,5,4,1
"Japan",17,4,4,3,3,0,2
"Costa Rica",17,4,4,4,5,-1,3
"Algeria",17,5,5,2,1,1,1
"Qatar",17,5,4,4,4,0,2
"Belgium",17,5,4,3,3,0,3
"Switzerland",17,6,6,5,4,1,1
"Egypt",17,6,6,3,2,1,2
"Saudi Arabia",17,6,3,3,4,-1,3
"Cameroon",17,7,7,6,2,4,1
"Poland",17,7,7,5,3,2,2
"Australia",17,8,5,4,3,1,1
"England",17,8,4,5,5,0,2
"Ghana",17,8,3,2,2,0,3
"Panama",17,9,9,6,0,6,1
"Scotland",17,9,4,3,3,0,2
"Germany",17,9,3,3,3,0,3
"France",17,10,7,8,3,5,1
"Nigeria",17,10,4,4,4,0,2
"Portugal",17,11,6,4,3,1,1
"Chile",17,11,5,3,2,1,2
"Jordan",17,11,4,4,4,0,3
"New Zealand",17,12,5,6,5,1,1
"Austria",17,12,4,5,3,2,2
"Jamaica",17,12,4,3,5,-2,3
"Korea Republic",18,1,9,6,2,4,1
"South Africa",18,1,4,4,3,1,2
"Mexico",18,2,9,5,2,3,1
"Austria",18,2,3,3,4,-1,2
"Japan",18,2,3,2,3,-1,3
"Chile",18,3,7,5,1,4,1
"Canada",18,3,6,7,4,3,2
"Algeria",18,4,7,6,3,3,1
"Costa Rica",18,4,5,3,2,1,2
"Croatia",18,4,3,5,5,0,3
"Qatar",18,5,7,5,2,3,1
"England",18,5,6,4,3,1,2
"Argentina",18,6,5,4,3,1,1
"Switzerland",18,6,4,7,4,3,2
"Nigeria",18,6,4,2,2,0,3
"Morocco",18,7,9,5,1,4,1
"Panama",18,7,4,3,3,0,2
"Australia",18,8,9,6,2,4,1
"Tunisia",18,8,6,6,5,1,2
"New Zealand",18,8,3,4,6,-2,3
"Egypt",18,9,7,6,1,5,1
"Uruguay",18,9,4,1,1,0,2
"Netherlands",18,9,3,4,4,0,3
"Iran",18,10,7,4,2,2,1
"Ghana",18,10,6,5,2,3,2
"France",18,10,4,2,4,-2,3
"Paraguay",18,11,7,3,0,3,1
"Spain",18,11,4,4,3,1,2
"Jordan",18,11,4,3,3,0,3
"Scotland",18,12,5,5,4,1,1
"Cameroon",18,12,4,7,5,2,2
"Belgium",18,12,3,5,5,0,3
"United States",19,1,6,5,4,1,1
"New Zealand",19,1,5,5,3,2,2
"Netherlands",19,1,4,4,5,-1,3
"Iran",19,2,7,5,1,4,1
"Mexico",19,2,4,3,4,-1,2
"Senegal",19,2,3,3,5,-2,3
"Morocco",19,3,9,6,2,4,1
"Canada",19,3,6,4,3,1,2
"Qatar",19,3,3,3,5,-2,3
"Germany",19,4,7,3,0,3,1
"South Africa",19,4,4,4,4,0,2
"Japan",19,4,3,2,4,-2,3
"Panama",19,5,7,6,3,3,1
"Paraguay",19,5,5,3,1,2,2
"Croatia",19,5,3,3,5,-2,3
"Cameroon",19,6,6,8,2,6,1
"Australia",19,6,5,2,1,1,2
"Norway",19,7,5,4,2,2,1
"Colombia",19,7,5,6,5,1,2
"France",19,7,4,6,5,1,3
"Korea Republic",19,8,6,6,2,4,1
"Chile",19,8,5,2,0,2,2
"Austria",19,9,7,6,3,3,1
"Costa Rica",19,9,4,2,3,-1,2
"Scotland",19,9,3,2,2,0,3
"Haiti",19,10,5,7,3,4,1
"Denmark",19,10,4,5,4,1,2
"England",19,10,4,1,1,0,3
"Tunisia",19,11,7,6,2,4,1
"Jamaica",19,11,5,4,3,1,2
"Jordan",19,12,9,9,2,7,1
"Nigeria",19,12,4,3,4,-1,2
"Cameroon",20,1,9,7,3,4,1
"Korea Republic",20,1,4,1,1,0,2
"Mexico",20,2,7,3,0,3,1
"New Zealand",20,2,6,4,1,3,2
"Senegal",20,2,4,3,4,-1,3
"Canada",20,3,7,8,4,4,1
"Jordan",20,3,7,5,2,3,2
"Spain",20,4,7,8,3,5,1
"Austria",20,4,6,3,5,-2,2
"Costa Rica",20,4,4,2,2,0,3
"Argentina",20,5,7,5,3,2,1
"Saudi Arabia",20,5,6,6,4,2,2
"Egypt",20,5,4,4,4,0,3
"Ghana",20,6,7,5,2,3,1
"Scotland",20,6,4,4,4,0,2
"Italy",20,6,3,3,3,0,3
"Paraguay",20,7,9,6,2,4,1
"Qatar",20,7,6,3,2,1,2
"Netherlands",20,8,9,5,2,3,1
"England",20,8,4,5,4,1,2
"South Africa",20,9,7,5,3,2,1
"France",20,9,4,4,4,0,2
"Japan",20,9,3,2,2,0,3
"Uzbekistan",20,10,7,5,3,2,1
"Brazil",20,10,4,3,3,0,2
"Tunisia",20,10,3,5,6,-1,3
"Colombia",20,11,5,5,2,3,1
"Belgium",20,11,5,4,3,1,2
"Panama",20,11,3,2,2,0,3
"Haiti",20,12,7,7,2,5,1
"Iran",20,12,4,4,5,-1,2
"Croatia",20,12,3,5,5,0,3
"Iran",21,1,7,3,1,2,1
"Colombia",21,1,4,5,3,2,2
"Jordan",21,2,7,8,4,4,1
"Norway",21,2,4,5,5,0,2
"Mexico",21,2,4,3,5,-2,3
"Canada",21,3,7,5,2,3,1
"Egypt",21,3,6,4,3,1,2
"Switzerland",21,3,4,5,5,0,3
"Cameroon",21,4,4,4,4,0,1
"Denmark",21,4,4,4,4,0,2
"Cameroon",21,4,4,4,4,0,3
"Chile",21,5,7,7,4,3,1
"Nigeria",21,5,6,4,3,1,2
"Portugal",21,6,7,5,1,4,1
"Australia",21,6,4,2,4,-2,2
"Panama",21,6,3,3,2,1,3
"Uruguay",21,7,9,5,1,4,1
"Japan",21,7,4,2,1,1,2
"Korea Republic",21,8,5,6,5,1,1
"England",21,8,5,3,2,1,2
"Tunisia",21,8,4,6,3,3,3
"Scotland",21,9,4,3,2,1,1
"New Zealand",21,9,4,4,4,0,2
"Netherlands",21,9,4,1,2,-1,3
"Costa Rica",21,10,7,5,2,3,1
"Spain",21,10,4,3,2,1,2
"Uzbekistan",21,11,6,7,3,4,1
"Croatia",21,11,6,4,2,2,2
"Morocco",21,11,6,5,5,0,3
"Wales",21,12,7,4,2,2,1
"Saudi Arabia",21,12,6,3,2,1,2
"Italy",21,12,3,6,6,0,3
"Australia",22,1,5,3,2,1,1
"New Zealand",22,1,3,2,2,0,2
"Mexico",22,2,5,3,1,2,1
"Qatar",22,2,4,4,4,0,2
"Algeria",22,2,4,2,3,-1,3
"Ghana",22,3,6,10,5,5,1
"Canada",22,3,4,6,5,1,2
"Korea Republic",22,3,4,3,4,-1,3
"Jordan",22,4,6,10,6,4,1
"Austria",22,4,6,6,5,1,2
"France",22,4,6,3,5,-2,3
"Tunisia",22,5,6,5,4,1,1
